Sentence Text,onset,end,onset_TR,end_TR
"""Look, Arthur. You want my advice?"" he said. Absently, he took his left hand out from between the girl's upper arm and chest wall. ""Get in bed and relax. Tell the truth. Is it going to do you any good to sit around and stew?"" ",202.9,217.8,135,146
"Yeah, I know. I wouldn't even worry, for Chrissake, but you can't trust her! I swear to God. I swear to God you can't.",217.8,225.8,146,151
The gray-haired man turned his head to see what the girl was doing. She had picked up the ashtray and was putting it between them.,225.8,233.3,151,156
"""You know what I do? You know what I do? I'm ashamed to tell you, but you know what I very nearly goddamn do every night? When I get home? You want to know?""",233.3,245.7,156,164
"""Arthur, listen, this isn't---"" ""Wait a second--I'll tell ya, God damn it. I practically have to keep myself from opening every goddam closet door in the apartment--I swear to God. Every night I come home, I half expect to find a bunch of bastards hiding all over the place.""",245.7,261,164,174
"""All right. All right. Let's try to take it a little easy, Arthur,"" the gray-haired man said. He turned his head again toward the girl, perhaps to show her how forbearing, even stoic, his countenance was. But the girl missed seeing it. She had just overturned the ashtray with her knee and was rapidly, with her fingers, brushing the spilled ashes into a little pick-up pile; her eyes looked up at him a second too late.",261,286.9,174,191
"""In the first place,"" he said into the phone, ""I've told you many, many times, Arthur, that's exactly where you make your biggest mistake. You know what you do? You actually go out of your way to torture yourself. As a matter of fact, you actually inspire Joanie-"" He broke off. ""You're bloody lucky she's a wonderful kid. I mean it. You give that kid absolutely no credit for having any good taste--or brains, for Chrissake, for that matter--""",286.9,318,191,212
"""Brains. Jesus, if you knew how funny that was. She thinks she's a goddamn intellectual. And, that's the funny part, that's the hilarious part. She reads the theatrical page, and she watches television till she's practically blind--so she's an intellectual. You know who I'm married to? I'm married to the greatest living undeveloped, undiscovered actress, novelist, psychoanalyst, and all-around goddam unappreciated celebrity-genius in New York. You didn't know that, did you? Christ, it's so funny I could cut my throat.""",318,346.2,212,231
"""In the first place,"" the gray-haired man said, and slowly moved his hand and then caressed a little lock that rested on the girl’s forehand, ""for a hell of an intelligent guy, you're about as tactless as it's humanly possible to be.""",346.2,361.5,231,241
"""We're mismated, that's all. That's the whole simple story. We're just mismated as hell. She doesn't respect me. She doesn't even love me, for God's sake. She bought me a suit once, with her own money. I tell you about that?""",361.5,378.5,241,252
"""No, I--"" The gray-haired man listened another moment. Then, abruptly, he turned toward the girl. The look he gave her, though only glancing, fully informed her what was suddenly going on at the other end of the phone.""",378.5,390.7,252,261
"""Now, Arthur, listen. I say this in all sincerity. Will you get undressed and get in bed, like a good guy? And relax? Joanie will probably be there in about two minutes."" He listened. ""Arthur? You hear me?"" ""Yeah. I hear you. Listen. I've kept you awake all night anyway. Could I come over to your place for a drink? Would you mind?""",390.7,418.8,261,279
"The gray-haired man straightened his back and placed the flat of his free hand on the top of his head, and said, ""Now, do you mean?"" ""Yeah. I mean if it's all right with you. I'll only stay a minute then. I'd just like to sit down somewhere and I don't know. Would it be all right?"" ",418.8,437.1,279,291
"""Yeah, but the point is I don't think you should, Arthur,"" the gray-haired man said, lowering his hand from his head. ""I mean you're, you're more than welcome to come, but I honestly think you should just sit tight and relax till Joanie waltzes in. What you want to be, you want to be right there on the spot when she waltzes in. Am I right, or not?""",437.1,462.4,291,308
"""Yeah. I don't know. I swear to God, I don't know."" ""Well, I do, I honestly do,"" the gray-haired man said. ""Look. Why don't you hop in bed now, and relax, and then later, if you feel like it, give me a ring. I mean if you feel like talking. And don't worry. That's the main thing. Hear me? Will you do that now?"" ""All right."" The gray-haired man continued for a moment to hold the phone to his ear, then lowered it into its cradle.""",462.4,492.2,308,328
"""What did he say?"" the girl immediately asked him. He picked his cigarette out of the ashtray--that is, selected it from an accumulation of smoked and half-smoked cigarettes. He dragged on it and said, ""He wanted to come over for a drink.""",492.2,509.7,328,340
"""God! What did you say?"" said the girl. ""You heard me,"" the gray-haired man said, and looked at her. ""You were wonderful. Absolutely marvellous,"" the girl said, watching him. ""Well,"" the gray-haired man said, ""it's a tough situation. I don't know how marvelous I was.""",509.7,530,340,353
"""You were. You were wonderful,"" the girl said. The gray-haired man looked at her. ""Well, it's a very, very tough situation. The guy's obviously going through absolute--"" The phone suddenly rang.",530,542.2,353,362
"The phone suddenly rang. The gray-haired man said ""Christ!"" but picked it up before the second ring. ""Hello?"" he said into it. ",542.2,550,362,367
"""Lee? Were you asleep?"" ""No, no."" ""Listen, I just thought you'd want to know. Joanie just barged in."" ""What?"" said the gray-haired man, and bridged his left hand over his eyes, though the light was behind him. ""Yeah, she just barged in. About ten seconds after I spoke to you. I just thought I'd give you a ring while she's in the john. Listen, thanks a million, Lee. I mean it. You weren't asleep, were ya?"" ",550,578.3,367,386
"""No, no. I was just--No, no,"" the gray-haired man said, leaving his fingers bridged over his eyes. He cleared his throat. ",578.3,587.7,386,392
"""Yeah. What happened was, apparently Leona got stinking and then had a goddam crying jag, and Bob wanted Joanie to go out and grab a drink with them somewhere. Anyway, so she's home. What a rat race. Honest to God, I think it's this goddamn New York. What I think maybe we'll do, if everything goes along all right, we'll get ourselves a little place in Connecticut maybe. Not too far out, necessarily, but far enough that we can lead a normal goddamn life. I mean she's crazy about plants and all that stuff. She'd probably go mad if she had her own goddamn garden and stuff. Know what I mean? I mean--except you--who do we know in New York except a bunch of neurotics? It's bound to undermine even a normal person sooner or later. Know what I mean?""",587.7,629.1,392,419
"""Listen, Arthur,"" the gray-haired man interrupted, taking his hand away from his face, ""I have a helluva headache all of a sudden. I don't know where I got the bloody thing from. You mind if we cut this short? I'll talk to you in the morning--all right?"" He listened for another moment, then hung up.",629.1,656.3,419,438
"Again the girl immediately spoke to him, but he didn't answer her. He picked a burning cigarette--the girl's--out of the ashtray and started to bring it to his mouth, but it slipped out of his fingers.",656.3,667.3,438,445
"The girl tried to help him retrieve it before anything was burned, but he told her to just sit still, for Chrissake, and she pulled back her hand.",667.3,675,445,450
